1;0;3752.00;10.60;993.00;0.00;0.24
2;0;3775.00;11.30;1086.00;0.00;0.24
3;0;3781.00;11.65;1111.00;0.00;0.24
4;0;3830.00;10.60;1077.00;0.00;0.24
5;0;3814.00;10.25;954.00;0.00;0.20
6;0;3846.00;11.00;1056.00;0.00;0.32
7;0;3813.00;10.80;1088.00;0.00;0.24
8;0;3777.00;10.30;1067.00;0.00;0.24
9;0;3841.00;10.60;1005.00;0.00;0.28
10;0;3748.00;11.00;1003.00;0.00;0.16
11;0;3816.00;10.50;1045.00;0.00;0.32
12;0;3767.00;10.60;1017.00;0.00;0.32
13;0;3796.00;10.60;1023.00;0.00;0.28
14;0;3823.00;11.30;1055.00;0.00;0.24
15;0;3816.00;10.50;1062.00;0.00;0.28
16;0;3777.00;11.52;1104.00;0.00;0.24
17;0;3832.00;11.10;1012.00;0.00;0.28
18;0;3734.00;11.10;1105.00;0.00;0.28
19;0;3821.00;10.30;961.00;0.00;0.24
20;0;3799.00;10.35;961.00;0.00;0.32
21;0;3867.00;10.52;1057.00;0.00;0.24
22;0;3775.00;11.00;1024.00;0.00;0.28
23;0;3777.00;10.95;1011.00;0.00;0.28
24;0;3750.00;10.52;1096.00;0.00;0.28
25;0;3774.00;10.60;991.00;0.00;0.28
26;0;3786.00;10.60;1063.00;0.00;0.36
27;0;3780.00;10.80;982.00;0.00;0.20
28;0;3841.00;11.40;1027.00;0.00;0.24
29;0;3766.00;10.85;949.00;0.00;0.24
30;0;3812.00;10.80;1104.00;0.00;0.20
31;0;3740.00;11.70;1114.00;0.00;0.24
32;0;3807.00;10.50;1056.00;0.00;0.28
33;0;3831.00;11.10;1034.00;0.00;0.24
34;0;3815.00;10.65;1075.00;0.00;0.32
35;0;3789.00;11.80;1098.00;0.00;0.36
36;0;3830.00;11.00;1046.00;0.00;0.28
37;0;3872.00;10.40;1086.00;0.00;0.24
38;0;3850.00;10.50;1012.00;0.00;0.28
39;0;3873.00;10.30;1077.00;0.00;0.20
40;0;3755.00;12.35;1125.00;0.00;0.32
41;0;3801.00;10.70;1067.00;0.00;0.32
42;0;3791.00;10.55;1075.00;0.00;0.28
43;0;3735.00;10.50;1006.00;0.00;0.16
44;0;3731.00;11.00;996.00;0.00;0.24
45;0;3751.00;10.75;970.00;0.00;0.28
46;0;3744.00;11.57;1123.00;0.00;0.24
47;0;3795.00;10.40;1056.00;0.00;0.28
48;0;3841.00;10.80;1069.00;0.00;0.28
