1;769.00;9.50;2030.00;big
1;1324.00;9.50;1862.00;big
2;1953.00;12.60;1382.00;big
2;3155.00;13.35;948.00;big
3;1650.00;11.42;1783.00;big
3;2274.00;10.60;1891.00;big
4;1993.00;10.65;1112.00;small
5;1091.00;10.50;1069.00;small
6;2868.00;12.90;1047.00;small
6;2918.00;10.80;1127.00;small
7;2852.00;11.30;887.00;big
7;2926.00;12.02;957.00;big
8;2905.00;11.40;846.00;big
8;2976.00;11.52;789.00;big
9;2960.00;11.50;689.00;big
9;3038.00;10.20;707.00;big
10;3085.00;13.05;831.00;big
10;3157.00;14.40;887.00;big
11;3257.00;12.80;803.00;big
11;3309.00;11.95;751.00;big
12;3140.00;14.87;718.00;big
12;3180.00;12.82;706.00;big
13;3244.00;13.95;656.00;big
13;3303.00;12.60;673.00;big
14;3422.00;11.02;597.00;small
14;3473.00;11.60;662.00;small
15;3766.00;10.70;1091.00;big
15;3809.00;10.50;1127.00;big
16;3763.00;10.50;1010.00;big
16;3793.00;10.95;1010.00;big
17;3665.00;10.50;1053.00;small
17;3696.00;10.50;1010.00;small
18;3694.00;12.60;904.00;small
18;3658.00;12.82;928.00;small
19;3461.00;14.20;901.00;big
19;3536.00;12.10;983.00;big
20;3511.00;13.92;828.00;big
20;3577.00;10.00;894.00;big
21;3360.00;14.60;811.00;big
21;3381.00;14.47;859.00;big
22;3626.00;10.80;835.00;big
22;3666.00;11.55;863.00;big
23;3545.00;10.80;700.00;big
23;3611.00;21.82;746.00;big
24;3703.00;11.05;588.00;big
24;3715.00;11.02;684.00;big
25;3403.00;10.55;524.00;small
25;3507.00;10.50;459.00;small
26;2746.00;9.50;2003.00;big
26;3337.00;9.50;1767.00;big
27;4691.00;9.50;1991.00;big
27;5161.00;9.50;1812.00;big
28;340.00;9.50;1457.00;big
28;822.00;9.50;1451.00;big
29;2859.00;9.50;1126.00;big
29;3233.00;9.50;1339.00;big
30;4589.00;9.50;1300.00;big
30;5172.00;9.50;1245.00;big
31;728.00;9.50;1079.00;big
31;1095.00;9.50;1150.00;big
32;2079.00;9.50;1144.00;big
32;2441.00;9.50;1119.00;big
33;4208.00;9.50;659.00;big
33;4567.00;9.50;889.00;big
34;347.00;9.50;653.00;big
34;902.00;9.50;805.00;big
35;2684.00;9.50;558.00;small
35;2856.00;9.50;529.00;small
36;4688.00;9.50;592.00;small
36;4764.00;9.50;533.00;small
37;951.00;9.50;358.00;big
37;1364.00;9.50;106.00;big
38;2769.00;9.50;191.00;big
38;3398.00;9.50;150.00;big
39;4597.00;9.50;385.00;big
39;5115.00;9.50;61.00;big
40;3958.00;15.37;614.00;big
40;3846.00;18.90;706.00;big
41;3851.00;10.90;908.00;big
41;3918.00;11.07;774.00;big
42;4008.00;12.25;920.00;big
42;4064.00;11.20;860.00;big
