STP_pw_campaign_engineers_of_peace_desc	Radio and newsreels turn engineers, doctors and teachers into symbols of the post-war state. Competence must become more prestigious than battlefield bravado.
STP_pw_campaign_victory_means_normal_life	'Victory Means a Normal Life'
STP_pw_campaign_victory_means_normal_life_desc	The campaign's central message is simple: victory is measured not by the number of parades, but by whether people can once again plan their work, family and lives beyond the coming week.
STP_party_preparation_available_tt	Preparation is still under way, and we support the Party
STP_party_war_available_tt	The Party is still at war with the resistance; the government has not capitulated
STP_party_compact_districts_tt	Party influence in New Monaya and Kreyden: §G+15§! if we own and control the district and local operations are available. Other networks are not removed; garrisons are funded through separate agreements.
STP_party_compact_depots_tt	Party influence in Hoskheit and Old Fada Forest: §G+15§! while ownership, control and access are retained. These agreements do not destroy underground networks: conduct a separate inspection if necessary.
STP_party_shared_stocks_tt	The shipment enters Stelander's shared stockpiles before the split. Unused equipment will be divided between the sides under the civil-war rules, rather than reserved entirely for the Party.
STP_party_civil_register_tt	Party influence in Niansas and Hoskheit: §G+8§! while ownership, control and access are retained. Strengthening the chancelleries does not destroy other military networks.
STP_party_staff_retained_tt	The headquarters improvement remains with the Party after the split. It does not pass to Shabrat's army.
STP_party_district_compact	An Agreement with District Chiefs
STP_party_district_compact_desc	For 50 political power, we will conclude an agreement with the district chiefs. New Monaya and Kreyden will each receive 15 Party influence without destroying underground networks. Separate paid agreements with commanders will become available to prepare additional brigades. Emergency purges will become unavailable: districts must instead be held through influence and interception of announced operations.
STP_party_treasury_3600_tt	The treasury will receive §G3600§! monetary units.
STP_party_budget_reserve	The Presidium's Reserve
STP_party_budget_reserve_desc	We will place an emergency loan through the ministries. The treasury will receive 3600, but raising the funds will cost 50 political power and reduce stability by 3%. The money enters the shared budget before the split; it can be spent on preparation, but is not reserved exclusively for the Party.
STP_party_guard_workshops	Capital Arsenal Orders
STP_party_guard_workshops_desc	Military factories need orders, and the guard needs serviceable equipment. We will organise production of small arms, heavy squad weapons and equipment for headquarters services. Before the split, these are shared state stockpiles: the outcome of the political struggle will determine their distribution.
STP_party_supply_directorate	Garrison Supply Directorate
STP_party_supply_directorate_desc	After choosing Congress defence or a mobile reserve, we will establish a common supply directorate. It reduces supply consumption and accelerates organisation recovery; headquarters remains with the Party when the split occurs.
STP_party_civil_register	District Chancelleries
