STP_pf_negotiate_merchants_desc	Secure trade routes and protection of turnover against arbitrary seizures. The agreement strengthens this faction and displeases the Security Service. Cost: £political_power_texticon 35. All agreements share a 30-day cooldown.
STP_pf_merchants_room_tt	Merchant influence is below 60%
STP_pf_merchants_deal_tt	§YMerchants§!: influence §Y+5 percentage points§! (up to 100%, with other shares reduced proportionately), support §G+12§!. §YSecurity Service§!: support §R-12§!. Support is bounded by 0-100; apparatus loyalty and faction effects are recalculated.
STP_pf_radicals_name	Radical Hedonists
STP_pf_radicals_badge	RH
STP_pf_radicals_influence_loc	Influence: §Y[?STP_pf_radicals_influence|1]%§!
STP_pf_radicals_support_loc	Support: §Y[?STP_pf_radicals_support|1]/100§!
STP_pf_radicals_tt	§YRadical Hedonists§!\nFreedom in public life and an end to conservative Party tutelage.\n\nContribution to apparatus loyalty: §Y[?STP_pf_radicals_contribution|2]§! points.\nWar exhaustion growth: [?STP_pf_radicals_effect|=-2%].\nEffect = (support - 50) × influence share × 0.3%; the sign is reversed: a satisfied group reduces the indicator.
STP_pf_negotiate_radicals	Lift Restrictions on the Hedonists
STP_pf_negotiate_radicals_desc	Freedom in public life and an end to conservative Party tutelage. The agreement strengthens this faction and displeases the Conservatives. Cost: £political_power_texticon 35. All agreements share a 30-day cooldown.
STP_pf_radicals_room_tt	Radical Hedonist influence is below 60%
STP_pf_radicals_deal_tt	§YRadical Hedonists§!: influence §Y+5 percentage points§! (up to 100%, with other shares reduced proportionately), support §G+12§!. §YConservatives§!: support §R-12§!. Support is bounded by 0-100; apparatus loyalty and faction effects are recalculated.
ADISCORD_STP_cw.94.t	Hedersett Usurps Power
ADISCORD_STP_cw.94.d	The order reached the ministries before the presidium had time to discuss it. Citing the country's armed split, Rufus Hedersett concentrated leadership of the Party government in his own hands. Orders to the troops, appointments and supply decisions must now pass through his office. Elections have been postponed indefinitely.\n\nAt the meeting, the secretary read out the document as already in force. Those who objected were invited to submit their comments in writing; their signatures were not required. By evening, district chancelleries had received new order templates and a demand to confirm their obedience.\n\nOfficial radio called it a temporary measure to preserve the state. Hedersett's opponents called it usurpation. As fronts formed beyond the capital, the Party apparatus received a single master.
ADISCORD_STP_cw.94.a	The orders have already been sent.
STP_ps_reorg_1	Restore Government Communications
STP_ps_reorg_1_desc	This stage pauses if a functioning government is lost. Payment and the remaining duration are preserved until it resumes; the end of the war refunds the unfinished deposit.
STP_ps_reorg_1_funded	Fund Reconstruction: Stage 1
STP_ps_reorg_1_funded_desc	Duration: 21 days (7 days fewer with the preparation programme). The next stage is selected separately. Reserves 900 treasury units; acceleration does not create additional units.
STP_ps_reorg_1_administrative	Administrative Reconstruction: Stage 1
STP_ps_reorg_1_administrative_desc	Duration: 35 days (7 days fewer with the preparation programme). The next stage is selected separately. A free option when treasury funds are insufficient.
STP_ps_reorg_2	Restore Supply
STP_ps_reorg_2_desc	This stage pauses if a functioning government is lost. Payment and the remaining duration are preserved until it resumes; the end of the war refunds the unfinished deposit.
STP_ps_reorg_2_funded	Fund Reconstruction: Stage 2
STP_ps_reorg_2_funded_desc	Duration: 21 days (7 days fewer with the preparation programme). The next stage is selected separately. Reserves 1800 treasury units; acceleration does not create additional units.
STP_ps_reorg_2_administrative	Administrative Reconstruction: Stage 2
