STP_pc_army_republic_control_desc	The civilian government will control appointments. Trust in the army will grow, although coordinating plans will take longer.
STP_pc_army_staff_doctrine	General Staff Doctrine
STP_pc_army_staff_doctrine_desc	The general staff will receive broad powers over planning and unit organisation. The cabinet will have to share political initiative with it.
STP_pc_navy_reach_water	Reach the Sea
STP_pc_navy_reach_water_desc	We have no port of our own. Headquarters is preparing a plan for Fada and Hoskheit, but that will not produce ships.
STP_pc_navy_coast	Coastal Defence
STP_pc_navy_coast_desc	We will establish a coastal command and begin training specialists to protect ports and coastal routes.
STP_pc_navy_ports	Bring the Ports under Oversight
STP_pc_navy_ports_desc	The port service will organise cargo inspections and depot protection. Smuggling channels must no longer offer foreign agents an open door.
STP_pc_navy_lanes	Protect the Sea Lanes
STP_pc_navy_lanes_desc	Research into coastal craft and escorts. Battleships are not part of the programme.
STP_pc_navy_yards	Affordable Shipbuilding
STP_pc_navy_yards_desc	We will expand ship-repair facilities in one of our controlled ports. Two dockyards will provide the foundation for a permanent naval programme.
STP_pc_navy_escorts	Escort Duty
STP_pc_navy_escorts_desc	We will train crews to escort transports and coordinate naval operations with shore services.
STP_pc_navy_deny	Deny the Enemy Fleet
STP_pc_navy_deny_desc	We will fortify the coastline and strengthen the ports' anti-air defences. The enemy will have to fight for a landing before it reaches the mountain roads.
STP_pc_navy_heg_inspection	Inspect the Clients
STP_pc_navy_heg_inspection_desc	A dependency spirit binds the client's port. Inspections increase resistance, but do not replace the leader.
STP_pc_navy_lib_no_basing	Their Port Is Not Ours
STP_pc_navy_lib_no_basing_desc	A permanent base in an ally's territory requires its consent. Violating that rule breaks the coalition.
STP_pc_navy_staff	Coastal Shipping under Staff Direction
STP_pc_navy_staff_desc	Military escorts take priority over merchant routes. This does not unlock general-staff focuses for Barchel.
STP_pc_air_crews	Aircrew Cadres
STP_pc_air_crews_desc	We will train pilots, mechanics and controllers. New research will allow us to choose an aircraft the country can maintain on its own.
STP_pc_air_fields	Airfields
STP_pc_air_fields_desc	We will prepare an airfield for two new air groups and conduct staff exercises. Construction will take place in a controlled region where the base can still be expanded.
STP_pc_air_shield	Shield the Skies
STP_pc_air_shield_desc	We will strengthen ground-based air defence and accelerate fighter development to protect our cities and mountain passes.
STP_pc_air_support	Support the Troops
STP_pc_air_support_desc	We will coordinate aviation with ground units. New aircraft must help the army where mountain roads cannot carry heavy artillery.
STP_pc_air_recon	Reconnaissance over the Passes
STP_pc_air_recon_desc	Fifteen intelligence points on both neighbours and a decision to repeat the sortie.
STP_pc_air_import	Orders for Private Aircraft Suppliers
