FACTION_SETUP_NAME_AND_ICON	£trigger_no You must choose a §Hfaction name§! and §Hinsignia§!
FACTION_RULES_TITLE	Faction Rules
FACTION_GOALS_TITLE	Faction Goals
FACTION_GOALS_CANCEL_TRIGGER_HEADER	§HThis goal will be cancelled if:§!
FACTION_GOALS_CANCEL_EFFECT_HEADER	§HCancellation effects:§!
CREATE_FACTION_NO_DLC_DESC	Lay the foundation for a military alliance. Invite other countries to join. Faction members can support one another in war!
FOCUS_FILTER_POLITICAL_FACTION_GOAL_FILTER	Faction Politics
FOCUS_FILTER_INTERNAL_AFFAIRS_FACTION_GOAL_FILTER	Internal Affairs
FOCUS_FILTER_RESEARCH_FACTION_GOAL_FILTER	Faction Research
FOCUS_FILTER_INDUSTRY_FACTION_GOAL_FILTER	Industrial Expansion
FOCUS_FILTER_WAR_SUPPORT_FACTION_GOAL_FILTER	War Preparation
FOCUS_FILTER_ANNEXATION_FACTION_GOAL_FILTER	Conquest
FOCUS_FILTER_ARMY_XP_FACTION_GOAL_FILTER	Army Expansion
FOCUS_FILTER_NAVY_XP_FACTION_GOAL_FILTER	Naval Superiority
FOCUS_FILTER_AIR_XP_FACTION_GOAL_FILTER	Air Superiority
FOCUS_FILTER_POLITICAL_CHARACTER_FACTION_GOAL_FILTER	Faction Organisation
FOCUS_FILTER_CONSOLIDATION_FACTION_GOAL_FILTER	Consolidation
resources_to_market_icon_FACTION_GOAL_FILTER	Resources
FACTION_FACILITY_NAME	Joint Research Centre
FACTION_ACCESS_TO_RESEARCH_TAB	Requires completion of the $CATEGORY|H$ goal: $NAME|H$
FACTION_ACCESS_TO_MILITARY_TAB	Requires completion of the $CATEGORY|H$ goal: $NAME|H$
faction_goal_unlock_research_name	Develop Joint Research
faction_goal_unlock_military_name	Establish a Unified Command
faction_goal_unlock_military_desc	As our ties grow stronger, we must be ready to respond to the changing global situation. To do so, we will need well-prepared task forces under unified command.
FACTION_ACCESS_TAB_UNLOCK	Unlock the following for your faction: $NAME|H$
FACTION_ACCESS_TAB_LOCK	Lock the following for your faction: $NAME|H$
FACTION_ACCESS_TAB_REASEARCH	Faction Research
FACTION_ACCESS_TAB_MILITARY	Faction Military Operations
FACTION_BUTTON_NAME	§HFaction§!
FACTION_BUTTON_NO_FACTION	§RNot in a faction§!
FACTION_BUTTON_JOIN_FACTION	To unlock the faction button, create a faction in the politics menu or join an existing one.
FACTION_BUTTON_DESC	Manage your faction to support allies and earn contribution bonuses
FACTION_BUTTON_COMPLETED_HEADER	£trigger_yes Completed faction goals:
FACTION_BUTTON_CANCELED_HEADER	£trigger_no Cancelled faction goals:
FACTION_BUTTON_GO_TO_GOALS_TAB	Go to the faction goals tab to replace a goal
FACTION_BUTTON_INITIATIVE	Faction initiative: $VAL|H$
FACTION_INTEL_NO_ADVISOR	No intelligence advisor assigned
FACTION_INTEL_ADVISOR_NOT_ENOUGH_INITIATIVE	§RInsufficient initiative§!
FACTION_INTEL_HEADER_SPYMASTER	Spymaster
FACTION_INTEL_HEADER_CRYPTOLOGY	Cryptology
FACTION_INTEL_HEADER_COUNTER	Counterintelligence
FACTION_INTEL_HEADER_OPERATIONS	Operations
FACTION_INTEL_OPEN_AGENCY_UPGRADES	Open agency upgrades
FACTION_INTEL_NO_DEPARTMENT_CREATED	§RNo department has been created§!
FACTION_INTEL_NO_DEPARTMENT_CREATED_VISIBILITY	Cannot contribute until an §Hintelligence agency§! has been created
FACTION_INTEL_NOT_OWN_POSTION	§RThis is not your position§!
FACTION_INTEL_ADVISOR	Intelligence Advisor
FACTION_INTEL_TAKE_OVER	Take over: $VALUE$ £faction_initiative_texticon£
FACTION_INTEL_SHARING_BONUS	§HIntelligence sharing bonus:§! $NUM|+=%.0$
